##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
346	5	50	 2.66	32.63
347	5	51	 2.66	33.30
348	5	52	 2.66	33.97
349	5	53	 2.66	34.63
350	5	54	 2.66	35.30
351	5	55	 2.66	35.96
352	5	56	 2.66	36.63
353	5	57	 2.66	37.30
354	5	58	 2.66	37.96
355	5	59	 2.66	38.63
356	5	60	 2.66	39.29
357	5	61	 2.66	39.96
358	5	62	 2.66	40.63
359	5	63	 2.66	41.29
360	5	64	 2.66	41.96
361	5	65	 2.66	42.62
362	5	66	 2.66	43.29
363	5	67	 2.66	43.96
364	5	68	 2.66	44.62
365	5	69	 2.66	45.29
366	5	70	 2.66	45.95
367	5	71	 2.66	46.62
368	5	72	 2.66	47.29
369	5	73	 2.66	47.95
370	5	74	 2.66	48.62
371	6	1	 3.33	 0.00
372	6	2	 3.33	 0.67
373	6	3	 3.33	 1.33
374	6	4	 3.33	 2.00
375	6	5	 3.33	 2.66
376	6	6	 3.33	 3.33
377	6	7	 3.33	 4.00
378	6	8	 3.33	 4.66
379	6	9	 3.33	 5.33
380	6	10	 3.33	 5.99
381	6	11	 3.33	 6.66
382	6	12	 3.33	 7.33
383	6	13	 3.33	 7.99
384	6	14	 3.33	 8.66
385	6	15	 3.33	 9.32
386	6	16	 3.33	 9.99
387	6	17	 3.33	10.66
388	6	18	 3.33	11.32
389	6	19	 3.33	11.99
390	6	20	 3.33	12.65
391	6	21	 3.33	13.32
392	6	22	 3.33	13.99
393	6	23	 3.33	14.65
394	6	24	 3.33	15.32
395	6	25	 3.33	15.98
396	6	26	 3.33	16.65
397	6	27	 3.33	17.32
398	6	28	 3.33	17.98
399	6	29	 3.33	18.65
400	6	30	 3.33	19.31
401	6	31	 3.33	19.98
402	6	32	 3.33	20.65
403	6	33	 3.33	21.31
404	6	34	 3.33	21.98
405	6	35	 3.33	22.64
406	6	36	 3.33	23.31
407	6	37	 3.33	23.98
408	6	38	 3.33	24.64
409	6	39	 3.33	25.31
410	6	40	 3.33	25.97
411	6	41	 3.33	26.64
412	6	42	 3.33	27.31
413	6	43	 3.33	27.97
414	6	44	 3.33	28.64
415	6	45	 3.33	29.30
416	6	46	 3.33	29.97
417	6	47	 3.33	30.64
418	6	48	 3.33	31.30
419	6	49	 3.33	31.97
420	6	50	 3.33	32.63
421	6	51	 3.33	33.30
422	6	52	 3.33	33.97
423	6	53	 3.33	34.63
424	6	54	 3.33	35.30
425	6	55	 3.33	35.96
426	6	56	 3.33	36.63
427	6	57	 3.33	37.30
428	6	58	 3.33	37.96
429	6	59	 3.33	38.63
430	6	60	 3.33	39.29
431	6	61	 3.33	39.96
432	6	62	 3.33	40.63
433	6	63	 3.33	41.29
434	6	64	 3.33	41.96
435	6	65	 3.33	42.62
436	6	66	 3.33	43.29
437	6	67	 3.33	43.96
438	6	68	 3.33	44.62
439	6	69	 3.33	45.29
440	6	70	 3.33	45.95
441	6	71	 3.33	46.62
442	6	72	 3.33	47.29
443	6	73	 3.33	47.95
444	6	74	 3.33	48.62
445	7	1	 4.00	 0.00
446	7	2	 4.00	 0.67
447	7	3	 4.00	 1.33
448	7	4	 4.00	 2.00
449	7	5	 4.00	 2.66
450	7	6	 4.00	 3.33
451	7	7	 4.00	 4.00
452	7	8	 4.00	 4.66
453	7	9	 4.00	 5.33
454	7	10	 4.00	 5.99
455	7	11	 4.00	 6.66
456	7	12	 4.00	 7.33
457	7	13	 4.00	 7.99
458	7	14	 4.00	 8.66
459	7	15	 4.00	 9.32
460	7	16	 4.00	 9.99
461	7	17	 4.00	10.66
462	7	18	 4.00	11.32
463	7	19	 4.00	11.99
464	7	20	 4.00	12.65
465	7	21	 4.00	13.32
466	7	22	 4.00	13.99
467	7	23	 4.00	14.65
468	7	24	 4.00	15.32
469	7	25	 4.00	15.98
470	7	26	 4.00	16.65
471	7	27	 4.00	17.32
472	7	28	 4.00	17.98
473	7	29	 4.00	18.65
474	7	30	 4.00	19.31
475	7	31	 4.00	19.98
476	7	32	 4.00	20.65
477	7	33	 4.00	21.31
478	7	34	 4.00	21.98
479	7	35	 4.00	22.64
480	7	36	 4.00	23.31
481	7	37	 4.00	23.98
482	7	38	 4.00	24.64
483	7	39	 4.00	25.31
484	7	40	 4.00	25.97
