##X¡¢Y unit mm	
Param	XOffset=3	YOffset=1	XSpan=1.33	YSpan=1.33	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
302	8	3	9.31	2.66
303	8	2	9.31	1.33
304	8	1	9.31	0
305	9	1	10.64	0
306	9	2	10.64	1.33
307	9	3	10.64	2.66
308	9	4	10.64	3.99
309	9	5	10.64	5.32
310	9	6	10.64	6.65
311	9	7	10.64	7.98
312	9	8	10.64	9.31
313	9	9	10.64	10.64
314	9	10	10.64	11.97
315	9	11	10.64	13.3
316	9	12	10.64	14.63
317	9	13	10.64	15.96
318	9	14	10.64	17.29
319	9	15	10.64	18.62
320	9	16	10.64	19.95
321	9	17	10.64	21.28
322	9	18	10.64	22.61
323	9	19	10.64	23.94
324	9	20	10.64	25.27
325	9	21	10.64	26.6
326	9	22	10.64	27.93
327	9	23	10.64	29.26
328	9	24	10.64	30.59
329	9	25	10.64	31.92
330	9	26	10.64	33.25
331	9	27	10.64	34.58
332	9	28	10.64	35.91
333	9	29	10.64	37.24
334	9	30	10.64	38.57
335	9	31	10.64	39.9
336	9	32	10.64	41.23
337	9	33	10.64	42.56
338	9	34	10.64	43.89
339	9	35	10.64	45.22
340	9	36	10.64	46.55
341	9	37	10.64	47.88
342	9	38	10.64	49.21
343	10	38	11.97	49.21
344	10	37	11.97	47.88
345	10	36	11.97	46.55
346	10	35	11.97	45.22
347	10	34	11.97	43.89
348	10	33	11.97	42.56
349	10	32	11.97	41.23
350	10	31	11.97	39.9
351	10	30	11.97	38.57
352	10	29	11.97	37.24
353	10	28	11.97	35.91
354	10	27	11.97	34.58
355	10	26	11.97	33.25
356	10	25	11.97	31.92
357	10	24	11.97	30.59
358	10	23	11.97	29.26
359	10	22	11.97	27.93
360	10	21	11.97	26.6
361	10	20	11.97	25.27
362	10	19	11.97	23.94
363	10	18	11.97	22.61
364	10	17	11.97	21.28
365	10	16	11.97	19.95
366	10	15	11.97	18.62
367	10	14	11.97	17.29
368	10	13	11.97	15.96
369	10	12	11.97	14.63
370	10	11	11.97	13.3
371	10	10	11.97	11.97
372	10	9	11.97	10.64
373	10	8	11.97	9.31
374	10	7	11.97	7.98
375	10	6	11.97	6.65
376	10	5	11.97	5.32
377	10	4	11.97	3.99
378	10	3	11.97	2.66
379	10	2	11.97	1.33
380	10	1	11.97	0
381	11	1	13.3	0
382	11	2	13.3	1.33
383	11	3	13.3	2.66
384	11	4	13.3	3.99
385	11	5	13.3	5.32
386	11	6	13.3	6.65
387	11	7	13.3	7.98
388	11	8	13.3	9.31
389	11	9	13.3	10.64
390	11	10	13.3	11.97
391	11	11	13.3	13.3
392	11	12	13.3	14.63
393	11	13	13.3	15.96
394	11	14	13.3	17.29
395	11	15	13.3	18.62
396	11	16	13.3	19.95
397	11	17	13.3	21.28
398	11	18	13.3	22.61
399	11	19	13.3	23.94
400	11	20	13.3	25.27
401	11	21	13.3	26.6
402	11	22	13.3	27.93
403	11	23	13.3	29.26
404	11	24	13.3	30.59
405	11	25	13.3	31.92
406	11	26	13.3	33.25
407	11	27	13.3	34.58
408	11	28	13.3	35.91
409	11	29	13.3	37.24
410	11	30	13.3	38.57
411	11	31	13.3	39.9
412	11	32	13.3	41.23
413	11	33	13.3	42.56
414	11	34	13.3	43.89
415	11	35	13.3	45.22
416	11	36	13.3	46.55
417	11	37	13.3	47.88
418	11	38	13.3	49.21
419	12	38	14.63	49.21
420	12	37	14.63	47.88
421	12	36	14.63	46.55
422	12	35	14.63	45.22
423	12	34	14.63	43.89
424	12	33	14.63	42.56
425	12	32	14.63	41.23
426	12	31	14.63	39.9
427	12	30	14.63	38.57
428	12	29	14.63	37.24
429	12	28	14.63	35.91
430	12	27	14.63	34.58
431	12	26	14.63	33.25
432	12	25	14.63	31.92
433	12	24	14.63	30.59
434	12	23	14.63	29.26
435	12	22	14.63	27.93
436	12	21	14.63	26.6
437	12	20	14.63	25.27
438	12	19	14.63	23.94
439	12	18	14.63	22.61
440	12	17	14.63	21.28
441	12	16	14.63	19.95
442	12	15	14.63	18.62
443	12	14	14.63	17.29
444	12	13	14.63	15.96
445	12	12	14.63	14.63
446	12	11	14.63	13.3
447	12	10	14.63	11.97
448	12	9	14.63	10.64
449	12	8	14.63	9.31
450	12	7	14.63	7.98
451	12	6	14.63	6.65
452	12	5	14.63	5.32
453	12	4	14.63	3.99
454	12	3	14.63	2.66
455	12	2	14.63	1.33
456	12	1	14.63	0
457	13	1	15.96	0
458	13	2	15.96	1.33
459	13	3	15.96	2.66
460	13	4	15.96	3.99
461	13	5	15.96	5.32
462	13	6	15.96	6.65
463	13	7	15.96	7.98
464	13	8	15.96	9.31
465	13	9	15.96	10.64
466	13	10	15.96	11.97
467	13	11	15.96	13.3
468	13	12	15.96	14.63
469	13	13	15.96	15.96
470	13	14	15.96	17.29
471	13	15	15.96	18.62
472	13	16	15.96	19.95
473	13	17	15.96	21.28
474	13	18	15.96	22.61
475	13	19	15.96	23.94
476	13	20	15.96	25.27
477	13	21	15.96	26.6
478	13	22	15.96	27.93
479	13	23	15.96	29.26
480	13	24	15.96	30.59
481	13	25	15.96	31.92
482	13	26	15.96	33.25
483	13	27	15.96	34.58
484	13	28	15.96	35.91
485	13	29	15.96	37.24
486	13	30	15.96	38.57
487	13	31	15.96	39.9
488	13	32	15.96	41.23
489	13	33	15.96	42.56
490	13	34	15.96	43.89
491	13	35	15.96	45.22
492	13	36	15.96	46.55
493	13	37	15.96	47.88
494	13	38	15.96	49.21
495	14	38	17.29	49.21
496	14	37	17.29	47.88
497	14	36	17.29	46.55
498	14	35	17.29	45.22
499	14	34	17.29	43.89
500	14	33	17.29	42.56
501	14	32	17.29	41.23
502	14	31	17.29	39.9
503	14	30	17.29	38.57
504	14	29	17.29	37.24
505	14	28	17.29	35.91
506	14	27	17.29	34.58
507	14	26	17.29	33.25
508	14	25	17.29	31.92
509	14	24	17.29	30.59
510	14	23	17.29	29.26
511	14	22	17.29	27.93
512	14	21	17.29	26.6
513	14	20	17.29	25.27
514	14	19	17.29	23.94
515	14	18	17.29	22.61
516	14	17	17.29	21.28
517	14	16	17.29	19.95
518	14	15	17.29	18.62
519	14	14	17.29	17.29
520	14	13	17.29	15.96
521	14	12	17.29	14.63
522	14	11	17.29	13.3
523	14	10	17.29	11.97
524	14	9	17.29	10.64
525	14	8	17.29	9.31
526	14	7	17.29	7.98
527	14	6	17.29	6.65
528	14	5	17.29	5.32
529	14	4	17.29	3.99
530	14	3	17.29	2.66
531	14	2	17.29	1.33
532	14	1	17.29	0
533	15	1	18.62	0
534	15	2	18.62	1.33
535	15	3	18.62	2.66
536	15	4	18.62	3.99
537	15	5	18.62	5.32
538	15	6	18.62	6.65
539	15	7	18.62	7.98
540	15	8	18.62	9.31
541	15	9	18.62	10.64
542	15	10	18.62	11.97
543	15	11	18.62	13.3
544	15	12	18.62	14.63
545	15	13	18.62	15.96
546	15	14	18.62	17.29
547	15	15	18.62	18.62
548	15	16	18.62	19.95
549	15	17	18.62	21.28
550	15	18	18.62	22.61
551	15	19	18.62	23.94
552	15	20	18.62	25.27
553	15	21	18.62	26.6
554	15	22	18.62	27.93
555	15	23	18.62	29.26
556	15	24	18.62	30.59
557	15	25	18.62	31.92
558	15	26	18.62	33.25
559	15	27	18.62	34.58
560	15	28	18.62	35.91
561	15	29	18.62	37.24
562	15	30	18.62	38.57
563	15	31	18.62	39.9
564	15	32	18.62	41.23
565	15	33	18.62	42.56
566	15	34	18.62	43.89
567	15	35	18.62	45.22
568	15	36	18.62	46.55
569	15	37	18.62	47.88
570	15	38	18.62	49.21
